epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1250.78,0.91031,0.90197,0.92541,0.63451,0.62302,0.63235,0.46535,1.0043,1.96454,0.96472,0.0033327,0.0033327,0.0033327
2,2460.52,0.81667,0.56433,0.89831,0.67066,0.618,0.63415,0.48096,0.96794,1.71867,0.96021,0.00653404,0.00653404,0.00653404
3,3666.75,0.8074,0.51815,0.90023,0.63767,0.56932,0.58577,0.44629,0.99844,1.59355,0.98621,0.00960339,0.00960339,0.00960339
4,4867.63,0.78215,0.48524,0.8971,0.66235,0.55429,0.59015,0.45077,0.97418,1.86656,0.978,0.009406,0.009406,0.009406
5,6088.75,0.75187,0.45036,0.88941,0.67475,0.51957,0.58637,0.45007,0.9905,1.80654,0.98632,0.009208,0.009208,0.009208
6,7299.65,0.73219,0.42792,0.88336,0.67376,0.52811,0.58473,0.44956,0.99946,1.84162,0.98788,0.00901,0.00901,0.00901
7,8518.2,0.72033,0.4147,0.88069,0.63138,0.54178,0.58905,0.4516,0.99757,1.78949,0.98923,0.008812,0.008812,0.008812
8,9725.84,0.71169,0.40403,0.87784,0.62706,0.54302,0.58179,0.44766,0.99853,1.84171,0.99179,0.008614,0.008614,0.008614
9,10933.1,0.7036,0.39476,0.8762,0.64158,0.53741,0.5794,0.44612,0.99997,1.74051,0.99128,0.008416,0.008416,0.008416
10,12140.9,0.69632,0.3879,0.87437,0.64247,0.54362,0.58077,0.44757,0.99806,1.77337,0.98973,0.008218,0.008218,0.008218
11,13359.1,0.69102,0.38163,0.8732,0.62777,0.55464,0.58252,0.4492,0.99924,1.77107,0.98989,0.00802,0.00802,0.00802
12,14573.7,0.68496,0.37698,0.87127,0.63326,0.55474,0.58357,0.45105,0.99799,1.81173,0.98945,0.007822,0.007822,0.007822
13,15784.4,0.68158,0.37275,0.87025,0.64086,0.55361,0.5848,0.45225,0.99734,1.83875,0.9891,0.007624,0.007624,0.007624
14,16983.1,0.67731,0.36871,0.86887,0.62736,0.56503,0.58705,0.45423,0.99819,1.9217,0.9893,0.007426,0.007426,0.007426
